speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
PALPATINE,ANAKIN,315,"I would worry about the collective wisdom of the Council if they didn't select you for this assignment. You are the best choice, by far. Sit down,",2,27,
PALPATINE,NA,316,Leave us.,1,2,
PALPATINE,ANAKIN,317,"Anakin, you know I'm not able to rely on the Jedi Council. If they haven't included you in their plot, they soon will.",1,23,
ANAKIN,PALPATINE,318,I'm not sure I understand.,1,5,
PALPATINE,ANAKIN,319,You must sense what I have come to suspect... the Jedi Council want control of the Republic... they're planning to betray me.,1,22,
ANAKIN,PALPATINE,320,I don't think...,1,3,
PALPATINE,ANAKIN,321,"Anakin, search your feelings. You know, don't you?",1,8,
ANAKIN,PALPATINE,322,I know they don't trust you...,1,6,
PALPATINE,ANAKIN,323,Or the Senate... or the Republic... or democracy for that matter.,1,11,
ANAKIN,PALPATINE,324,I have to admit my trust in them has been shaken.,1,11,
PALPATINE,ANAKIN,325,"Why? They asked you to do something that made you feel dishonest, didn't they? They asked you to spy on me, didn't they?",2,23,
ANAKIN,PALPATINE,326,I don't uh... I don't know what to say.,1,9,
PALPATINE,ANAKIN,327,"Remember back to your early teachings. ""All who gain power are afraid to lose it."" Even the Jedi.",1,18,
ANAKIN,PALPATINE,328,The Jedi use their power for good.,1,7,
PALPATINE,ANAKIN,329,"Good is a point of view, Anakin. The Sith and the Jedi are similar in almost every way, including their quest for greater power.",2,24,
ANAKIN,PALPATINE,330,"The Sith rely on their passion for their strength. They think inwards, only about themselves.",1,15,
PALPATINE,ANAKIN,331,And the Jedi don't?,1,4,
ANAKIN,PALPATINE,332,The Jedi are selfless... they only care about others.,1,9,
PALPATINE,ANAKIN,333,Did you ever hear the tragedy of Darth Plagueis the wise?,1,11,
ANAKIN,PALPATINE,334,No.,1,1,
PALPATINE,ANAKIN,335,"I thought not. It's not a story the Jedi would tell you. It's a Sith legend. Darth Plagueis was a Dark Lord of the Sith, so powerful and so wise he could use the Force to influence the midi-chlorians to create life... He had such a knowledge of the dark side that he could even keep the ones he cared about from dying.",1,63,
ANAKIN,PALPATINE,336,He could actually save people from death?,1,7,
PALPATINE,ANAKIN,337,The dark side of the Force is a pathway to many abilities some consider to be unnatural.,1,17,
