from,to,dialogue,yarn_id
PALPATINE,ANAKIN,Then you will be invincible.,873993
PALPATINE,ANAKIN,I have said it many times: You are the most gifted Jedi I have ever met.,873994
ANAKIN,PALPATINE,"Thank you, Your Excellency.",873996
PALPATINE,ANAKIN,"I see you becoming the greatest of all the Jedi, Anakin.",873997
PALPATINE,ANAKIN,even more powerful than Master Yoda.,873998
OBI-WAN,"YODA, MACE WINDU",I am concerned for my Padawan.,873999
OBI-WAN,"YODA, MACE WINDU",He is not ready to be given this assignment on his own yet.,874000
YODA,OBI-WAN,"The Council is confident in its decision, Obi-Wan.",874001
MACE WINDU,OBI-WAN,The boy has exceptional skills.,874002
OBI-WAN,"YODA, MACE WINDU","But he still has much to learn, Master.",874003
OBI-WAN,"YODA, MACE WINDU",And his abilities have made him.,874004
OBI-WAN,"YODA, MACE WINDU",well.,874004
OBI-WAN,"YODA, MACE WINDU",arrogant.,874004
YODA,OBI-WAN,"Yes, yes.",874005
YODA,OBI-WAN,A flaw more and more common among Jedi.,874006
YODA,OBI-WAN,Too sure of themselves they are.,874007
YODA,OBI-WAN,"Even the older, more experienced ones.",874008
MACE WINDU,OBI-WAN,"Remember, Obi-Wan, if the prophecy is true.",874009
MACE WINDU,OBI-WAN,your apprentice is the only one who can bring the Force back into balance.,874010
PADME,JAR JAR,I'm taking an extended leave of absence.,874011
PADME,JAR JAR,It will be your responsibility to take my place in the Senate.,874012
PADME,JAR JAR,"Representative Binks, I know I can count on you.",874013
JAR JAR,PADME,Mesa honored to be taking on dissa heavy burden.,874014
JAR JAR,PADME,burden.,874014
JAR JAR,PADME,"Mesa accept this with muy, muy humility and--.",874015
PADME,JAR JAR,"Jar Jar, I don't wish to hold you up.",874016
PADME,JAR JAR,I'm sure you have a great deal to do.,874017
JAR JAR,PADME,"Of course, M'lady.",874018
PADME,ANAKIN,I do not like this idea of hiding.,874020
ANAKIN,PADME,Don't worry.,874021
ANAKIN,PADME,"Now that the Council has ordered an investigation, it won't take Master Obi-Wan long to find this bounty hunter.",874023
PADME,ANAKIN,I haven't worked for a year to defeat the Military Creation Act.,874024
PADME,ANAKIN,to not be here when its fate is decided.,874025
ANAKIN,PADME,Sometimes we must let go of our pride and do what is requested of us.,874027
PADME,ANAKIN,"Anakin, you've grown up.",874028
ANAKIN,PADME,Master Obi-Wan manages not to see it.,874029
ANAKIN,PADME,Don't get me wrong.,874030
ANAKIN,PADME,Obi-Wan is a great mentor.,874031
ANAKIN,PADME,As wise as Master Yoda and.,874032
ANAKIN,PADME,as powerful as Master Windu.,874033
ANAKIN,PADME,I am truly thankful to be his apprentice.,874034
ANAKIN,PADME,In some ways-- a lot of ways-- I'm really ahead of him.,874036
ANAKIN,PADME,I'm ready for the trials.,874037
ANAKIN,PADME,but he feels that I'm too unpredictable.,874038
ANAKIN,PADME,He won't let me move on.,874039
PADME,ANAKIN,That must be frustrating.,874040
ANAKIN,PADME,It's worse.,874040
ANAKIN,PADME,He's overly critical.,874041
ANAKIN,PADME,He never listens.,874041
ANAKIN,PADME,He doesn't understand.,874042
ANAKIN,PADME,It's not fair!,874043
PADME,ANAKIN,All mentors have a way of seeing more of our faults than we would like.,874044
PADME,ANAKIN,It's the only way we grow.,874045
ANAKIN,PADME,I know.,874046
PADME,ANAKIN,Anakin.,874047
PADME,ANAKIN,Don't try to grow up too fast.,874048
ANAKIN,ANAKIN,But I am grown up.,874049
ANAKIN,ANAKIN,You said it yourself.,874050
PADME,ANAKIN,Please don't look at me like that.,874051
ANAKIN,PADME,Why not?,874052
PADME,ANAKIN,It makes me feel uncomfortable.,874053
ANAKIN,PADME,"Sorry, milady.",874054
CAPTAIN TYPHO,PADME,"Be safe, m'lady.",874055
PADME,"CAPTAIN TYPHO, DORME","Thank you, Captain.",874055
PADME,"CAPTAIN TYPHO, DORME",Take good care of Dorme.,874056
PADME,"CAPTAIN TYPHO, DORME",The threat's on you two now.,874056
DORME,"PADME, CAPTAIN TYPHO",He'll be safe with me.,874057
PADME,DORME,You'll be fine.,874058
DORME,PADME,"It's not me, m'lady.",874059
DORME,PADME,I worry about you.,874059
DORME,PADME,What if they realize you've left the capital?,874060
PADME,DORME,"Well, then my Jedi protector will have to prove how good he is.",874061
OBI-WAN,ANAKIN,Anakin.,874062
OBI-WAN,ANAKIN,Don't do anything without first consulting either myself or the council.,874063
ANAKIN,OBI-WAN,"Yes, Master.",874064
OBI-WAN,PADME,"I'll get to the bottom of this plot quickly, milady.",874065
OBI-WAN,PADME,You'll be back here in no time.,874066
PADME,OBI-WAN,"I'll be most grateful for your speed, Master Jedi.",874067
ANAKIN,PADME,It's time to go.,874068
PADME,ANAKIN,I know.,874068
OBI-WAN,ANAKIN,"Anakin, may the Force be with you.",874069
ANAKIN,OBI-WAN,"May the Force be with you, Master.",874070
PADME,ANAKIN,Suddenly I'm afraid.,874071
ANAKIN,PADME,This is my first assignment on my own.,874072
ANAKIN,PADME,I am too.,874072
ANAKIN,PADME,Don't worry.,874073
ANAKIN,PADME,We have Artoo with us.,874073
OBI-WAN,CAPTAIN TYPHO,I do hope he doesn't try anything foolish.,874074
CAPTAIN TYPHO,OBI-WAN,I'd be more concerned about her doing something than him.,874075
HERMIONE,DEXTER JETTSTER,"Someone to see ya, honey Jedi, by the looks of him.",874077
DEXTER JETTSTER,OBI-WAN,Obi-wan!,874078
OBI-WAN,DEXTER JETTSTER,"Hello, Dex.",874079
DEXTER JETTSTER,OBI-WAN,Take a seat!,874080
DEXTER JETTSTER,OBI-WAN,I'll be right with ya!,874080
HERMIONE,OBI-WAN,You want a cup of jawa juice?,874081
OBI-WAN,HERMIONE,"Oh, yes.",874081
OBI-WAN,HERMIONE,Thank you.,874081
DEXTER JETTSTER,OBI-WAN,"Hey, ol' buddy!",874082
DEXTER JETTSTER,OBI-WAN,"So, my friend.",874083
DEXTER JETTSTER,OBI-WAN,What can I do for ya?,874083
OBI-WAN,DEXTER JETTSTER,You can tell me what this is.,874084
DEXTER JETTSTER,OBI-WAN,"Well, whattaya know.",874085
DEXTER JETTSTER,OBI-WAN,I ain't seen one of these since I was prospecting on Subterrel beyond the Outer Rim!,874086
OBI-WAN,DEXTER JETTSTER,Can you tell me where it came from?,874088
OBI-WAN,HERMIONE,Thank you.,874090
DEXTER JETTSTER,OBI-WAN,This baby belongs to them cloners.,874105
DEXTER JETTSTER,OBI-WAN,What you got here is a Kamino saberdart.,874113
OBI-WAN,DEXTER JETTSTER,I wonder why it didn't show up in the analysis archive.,874115
DEXTER JETTSTER,OBI-WAN,It's these funny little cuts on the side that give it away.,874116
DEXTER JETTSTER,OBI-WAN,"Those analysis droids only focus on symbols, I should think you Jedi would have more respect for the difference between knowledge and wisdom.",874122
OBI-WAN,DEXTER JETTSTER,"Well, if droids could think there'd be none of us here, would there?",874122
OBI-WAN,DEXTER JETTSTER,Kamino.,874124
OBI-WAN,DEXTER JETTSTER,I'm not familiar with it.,874126
OBI-WAN,DEXTER JETTSTER,Is it in the Republic?,874126
DEXTER JETTSTER,OBI-WAN,"No, no, it's beyond the Outer Rim.",874126
DEXTER JETTSTER,OBI-WAN,"I'd say about twelve parsecs outside the Rishi Maze Should be easy to find, even for those droids in your archives.",874126
DEXTER JETTSTER,OBI-WAN,These Kaminoans keep to themselves.,874126
DEXTER JETTSTER,OBI-WAN,They're cloners.,874126
DEXTER JETTSTER,OBI-WAN,"Damned good ones, too.",874128
OBI-WAN,DEXTER JETTSTER,Cloners?,874128
OBI-WAN,DEXTER JETTSTER,Are they friendly?,874128
DEXTER JETTSTER,OBI-WAN,"oh, depends.",874129
OBI-WAN,DEXTER JETTSTER,"Depends on what, Dex?",874129
DEXTER JETTSTER,OBI-WAN,On how good your manners are.,874129
DEXTER JETTSTER,OBI-WAN,and how big your pocketbook is.,874129
